advertiser,year,month,Tv,Print_Media,Radio,Google,Fb_and_Insta,Youtube,Hoardings,Others,Total,Sales
1MG TECHNOLOGIES PVT LTD,2019,11,40214622,1370328.068,413322.8647,12699920.15,17916719.87,1300587.381,653448.9709,675687.197,75244636.51,933524411.7
1MG TECHNOLOGIES PVT LTD,2019,12,99870536,6537193.708,1034021.58,17664512.55,39513111.37,3397211.782,1134462.106,1180512.777,170331561.9,1489883649
21 PALLY BALLYGUNGE PHARI,2019,9,2784048,203284.1647,29505.44596,277383.3465,527637.0285,151065.8634,21933.86636,87089.67169,4081947.387,59834690.29
21 PALLY BALLYGUNGE PHARI,2019,10,693166,32843.26182,10272.37255,200947.3754,193201.9052,37278.30216,7750.388539,18743.9471,1194203.553,10841825.4
21 PALLY BALLYGUNGE PHARI,2019,11,1738607,118063.7133,19888.90926,239165.361,360419.4669,94172.08278,14842.12745,52916.8094,2638075.47,35338257.85
21 PALLY BALLYGUNGE PHARI,2019,12,693166,32843.26182,10272.37255,200947.3754,193201.9052,37278.30216,7750.388539,18743.9471,1194203.553,10841825.4
3RDFLIX VISUAL EFFECTS PVT LTD,2020,12,3769257,171799.0998,56127.14782,1031884.17,1335850.337,191287.109,42074.77289,108802.651,6707082.288,76886010.91
A B COMPANY INDIA,2021,3,1344720,94878.49179,8347.849236,100902.4568,395526.6348,68371.90176,14333.05895,21078.05398,2048158.447,36882826.51
A B COMPANY INDIA,2021,4,1344720,75826.99883,21843.01175,111399.2644,472519.875,54270.75949,10888.27281,46459.524,2137927.706,22256690.55
A B COMPANY INDIA,2021,5,1344720,98945.80133,11273.1622,198764.4849,508646.2988,43758.10723,12005.47916,16876.06568,2234989.399,37775362.23
A B COMPANY INDIA,2021,6,1344720,84020.08888,19288.17543,299192.8032,615499.0167,81962.08243,8000.999647,20264.29462,2472947.461,27380814.13
A KERALA MEDIA COLLECTIVE,2018,11,12751703,918012.6536,142141.6661,2934657.436,5415740.601,802840.8301,195132.7902,405986.1832,23566215.16,146907149.4
A KERALA MEDIA COLLECTIVE,2018,12,5646339,216916.7732,32108.75797,1066427.346,2243199.815,324307.3996,91796.63214,180150.7897,9801246.514,82151213.42
AACHI MASALA FOODS (P) LTD/SATHIYAM MEDIA VISION P,2019,11,1104864,78432.90281,12283.11256,273432.6211,451478.5028,29327.55185,13733.84089,37146.05036,2000698.582,20555892.9
AACHI MASALA FOODS (P) LTD/SATHIYAM MEDIA VISION P,2019,12,754392,27076.26054,4807.298304,143818.7911,192090.8972,46864.63225,14674.13328,12380.6862,1196104.699,9703484.225
AADHAR HOUSING FINANCE PVT LTD,2018,9,1048433,36408.49387,16729.32776,173767.4263,231681.07,37325.12046,20765.02974,38514.45525,1603623.923,11265994.01
AADHAR HOUSING FINANCE PVT LTD,2018,10,1048433,36408.49387,16729.32776,173767.4263,231681.07,37325.12046,20765.02974,38514.45525,1603623.923,11265994.01
AADHAR HOUSING FINANCE PVT LTD,2018,11,1048433,36408.49387,16729.32776,173767.4263,231681.07,37325.12046,20765.02974,38514.45525,1603623.923,11265994.01
AADHAR HOUSING FINANCE PVT LTD,2018,12,1048433,36408.49387,16729.32776,173767.4263,231681.07,37325.12046,20765.02974,38514.45525,1603623.923,11265994.01
AARTI INFRA & BUILDCON LTD,2018,10,862745,31409.03335,13214.8141,250046.7565,287176.8134,54150.20924,16060.0635,25999.26428,1540801.954,19995327.72
