advertiser,Best_Model
123 HOME PAINTS PVT LTD,Polynomial_Regression_TV_to_Others
1MG TECHNOLOGIES PVT LTD,Multiple_Regression_TV_Radio_Media
20TH CENTURY FOX,Multiple_Regression
20TH CENTURY STUDIO/WALT DISNEY STUDIO MOTION PICT,Multiple_Regression_TV_Radio_Media
21 PALLY BALLYGUNGE PHARI,Multiple_Regression_TV_Radio_Media
3 STAR CREATIONS,Multiple_Regression_TV_Radio_Media
3F INDUSTRIES LTD,Multiple_Regression
3G DIGITAL WORLD,LSTM
3M INDIA LTD,LSTM
3RDFLIX VISUAL EFFECTS PVT LTD,Multiple_Regression_TV_Radio_Media
5PAISA CAPITAL LTD,Multiple_Regression_TV_Radio_Media
7HILLS HERBAL PRODUCTS,Multiple_Regression_TV_Radio_Media
91STREETS MEDIA TECH PVT LTD,LSTM
A B COMPANY INDIA,Multiple_Regression_TV_Radio_Media
A D TEXTILE,LSTM
A KERALA MEDIA COLLECTIVE,Multiple_Regression_TV_Radio_Media
A M MARKETPLACES PVT LTD,Multiple_Regression
A O SMITH INDIA WATER PRODUCTS PVT LTD,LSTM
A P FOOD PRODUCTS,Multiple_Regression_TV_Radio_Media
A V THOMAS GROUP,Multiple_Regression_TV_Radio_Media
A&A DUKAAN FINANCIAL SERVICES,Multiple_Regression_TV_Radio_Media
A24 FILMS,Multiple_Regression_TV_Radio_Media
AACHI ENTERPRISE,Multiple_Regression
AACHI MASALA FOODS (P) LTD,LSTM
AACHI MASALA FOODS (P) LTD/SATHIYAM MEDIA VISION P,Multiple_Regression_TV_Radio_Media
AADHAR HOUSING FINANCE PVT LTD,Multiple_Regression_TV_Radio_Media
AADHI JAYA AYURVEDICS,Polynomial_Regression_TV_Radio_Media
AADHYA GOLD PVT LTD,LSTM
AAKASH EDUCATIONAL SERVICES LTD,LSTM
AARADYAA GOLD PVT LTD,LSTM
AARTHI SCANS PVT LTD,Multiple_Regression
AARTI INFRA & BUILDCON LTD,Multiple_Regression_TV_Radio_Media
AARUDHRA GOLD TRADING PRIVATE LIMITED,Multiple_Regression_TV_Radio_Media
AARUSH GOC PVT LTD,Polynomial_Regression_TV_to_Others
AASAI FOOD PRODUCT,Polynomial_Regression_TV_to_Others
AASHAKIRAN HOSPITAL & FERTILITY WORLD,LSTM
AASHRAYA GOLD PVT LTD,Multiple_Regression
AASRITHA CHIT FUND PVT LTD,Multiple_Regression_TV_Radio_Media
AASTHA PROPERTIES (BLR),LSTM
AAVAS FINANCIERS LTD,LSTM
AB PROPERTY,LSTM
ABARANJEE AMMAL EDUC SOCIETY,Multiple_Regression_TV_Radio_Media
ABBOT LABORATORIES LTD,LSTM
